,title,paper_url,conference,year
84,CoBia: Constructed Conversations Can Trigger Otherwise Concealed Societal Biases in LLMs,https://aclanthology.org/2025.emnlp-main.84.pdf,emnlp,2025
85,From Schema to State: Zero-Shot Scheme-Only Dialogue State Tracking via Diverse Synthetic Dialogue and Step-by-Step Distillation,https://aclanthology.org/2025.emnlp-main.85.pdf,emnlp,2025
86,Beyond the Surface: Measuring Self-Preference in LLM Judgments,https://aclanthology.org/2025.emnlp-main.86.pdf,emnlp,2025
87,Beyond Input Activations: Identifying Influential Latents by Gradient Sparse Autoencoders,https://aclanthology.org/2025.emnlp-main.87.pdf,emnlp,2025
88,Utility-Focused LLM Annotation for Retrieval and Retrieval-Augmented Generation,https://aclanthology.org/2025.emnlp-main.88.pdf,emnlp,2025
89,CiteBART: Learning to Generate Citations for Local Citation Recommendation,https://aclanthology.org/2025.emnlp-main.89.pdf,emnlp,2025
90,Autoformalization in the Wild: Assessing LLMs on Real-World Mathematical Definitions,https://aclanthology.org/2025.emnlp-main.90.pdf,emnlp,2025
91,Culture Cartography: Mapping the Landscape of Cultural Knowledge,https://aclanthology.org/2025.emnlp-main.91.pdf,emnlp,2025
92,Interpretability Analysis of Arithmetic In-Context Learning in Large Language Models,https://aclanthology.org/2025.emnlp-main.92.pdf,emnlp,2025
93,SwarmAgentic: Towards Fully Automated Agentic System Generation via Swarm Intelligence,https://aclanthology.org/2025.emnlp-main.93.pdf,emnlp,2025
94,We Politely Insist: Your LLM Must Learn the Persian Art of Taarof,https://aclanthology.org/2025.emnlp-main.94.pdf,emnlp,2025
95,Unstructured Evidence Attribution for Long Context Query Focused Summarization,https://aclanthology.org/2025.emnlp-main.95.pdf,emnlp,2025
96,"RAVEN: Query-Guided Representation Alignment for Question Answering over Audio, Video, Embedded Sensors, and Natural Language",https://aclanthology.org/2025.emnlp-main.96.pdf,emnlp,2025
97,Cache-of-Thought: Master-Apprentice Framework for Cost-Effective Vision Language Model Reasoning,https://aclanthology.org/2025.emnlp-main.97.pdf,emnlp,2025
98,Video Compression Commander: Plug-and-Play Inference Acceleration for Video Large Language Models,https://aclanthology.org/2025.emnlp-main.98.pdf,emnlp,2025
99,Router-Tuning: A Simple and Effective Approach for Dynamic Depth,https://aclanthology.org/2025.emnlp-main.99.pdf,emnlp,2025
100,Foot-In-The-Door: A Multi-turn Jailbreak for LLMs,https://aclanthology.org/2025.emnlp-main.100.pdf,emnlp,2025
101,TurnaboutLLM: A Deductive Reasoning Benchmark from Detective Games,https://aclanthology.org/2025.emnlp-main.101.pdf,emnlp,2025
102,Transferable Direct Prompt Injection via Activation-Guided MCMC Sampling,https://aclanthology.org/2025.emnlp-main.102.pdf,emnlp,2025
103,Direct Judgement Preference Optimization,https://aclanthology.org/2025.emnlp-main.103.pdf,emnlp,2025
104,WebInject: Prompt Injection Attack to Web Agents,https://aclanthology.org/2025.emnlp-main.104.pdf,emnlp,2025
105,F²Bench: An Open-ended Fairness Evaluation Benchmark for LLMs with Factuality Considerations,https://aclanthology.org/2025.emnlp-main.105.pdf,emnlp,2025
106,Value Profiles for Encoding Human Variation,https://aclanthology.org/2025.emnlp-main.106.pdf,emnlp,2025
107,Language Models as Causal Effect Generators,https://aclanthology.org/2025.emnlp-main.107.pdf,emnlp,2025
108,Constructions are Revealed in Word Distributions,https://aclanthology.org/2025.emnlp-main.108.pdf,emnlp,2025
109,CodeMixBench: Evaluating Code-Mixing Capabilities of LLMs Across 18 Languages,https://aclanthology.org/2025.emnlp-main.109.pdf,emnlp,2025
110,RBPtool: A Deep Language Model Framework for Multi-Resolution RBP-RNA Binding Prediction and RNA Molecule Design,https://aclanthology.org/2025.emnlp-main.110.pdf,emnlp,2025
111,Unveiling Internal Reasoning Modes in LLMs: A Deep Dive into Latent Reasoning vs. Factual Shortcuts with Attribute Rate Ratio,https://aclanthology.org/2025.emnlp-main.111.pdf,emnlp,2025
112,SAE-SSV: Supervised Steering in Sparse Representation Spaces for Reliable Control of Language Models,https://aclanthology.org/2025.emnlp-main.112.pdf,emnlp,2025
113,BabyLM’s First Constructions: Causal interventions provide a signal of learning,https://aclanthology.org/2025.emnlp-main.113.pdf,emnlp,2025
114,Effective Red-Teaming of Policy-Adherent Agents,https://aclanthology.org/2025.emnlp-main.114.pdf,emnlp,2025
115,CondAmbigQA: A Benchmark and Dataset for Conditional Ambiguous Question Answering,https://aclanthology.org/2025.emnlp-main.115.pdf,emnlp,2025
116,SafeScientist: Enhancing AI Scientist Safety for Risk-Aware Scientific Discovery,https://aclanthology.org/2025.emnlp-main.116.pdf,emnlp,2025
117,Improving Informally Romanized Language Identification,https://aclanthology.org/2025.emnlp-main.117.pdf,emnlp,2025
118,"Integral Transformer: Denoising Attention, Not Too Much Not Too Little",https://aclanthology.org/2025.emnlp-main.118.pdf,emnlp,2025
119,CHENGYU-BENCH: Benchmarking Large Language Models for Chinese Idiom Understanding and Use,https://aclanthology.org/2025.emnlp-main.119.pdf,emnlp,2025
120,Improving Cross Lingual Transfer by Pretraining with Active Forgetting,https://aclanthology.org/2025.emnlp-main.120.pdf,emnlp,2025
121,Re-Align: Aligning Vision Language Models via Retrieval-Augmented Direct Preference Optimization,https://aclanthology.org/2025.emnlp-main.121.pdf,emnlp,2025
122,To Mask or to Mirror: Human-AI Alignment in Collective Reasoning,https://aclanthology.org/2025.emnlp-main.122.pdf,emnlp,2025
123,SWAN: An Efficient and Scalable Approach for Long-Context Language Modeling,https://aclanthology.org/2025.emnlp-main.123.pdf,emnlp,2025
