,title,authors,paper_url
27,COOkeD: Ensemble-Based OOD Detection in the Era of Zero-Shot CLIP,"['Galadrielle Humblot-Renaux', 'Gianni Franchi', 'Sergio Escalera', 'Thomas B. Moeslund']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Humblot-Renaux_COOkeD_Ensemble-Based_OOD_Detection_in_the_Era_of_Zero-Shot_CLIP_ICCVW_2025_paper.pdf
28,Is It Certainly a Deepfake? Reliability Analysis in Detection & Generation Ecosystem,"['Neslihan Kose', 'Anthony Rhodes', 'Umur Aybars Ciftci', 'Ilke Demir']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Kose_Is_It_Certainly_a_Deepfake_Reliability_Analysis_in_Detection__ICCVW_2025_paper.pdf
29,Data Bias Mitigation and Evaluation Framework for Diffusion-based Generative Face Models,"['Hao Yu', 'Margrit Betke', 'Sarah Adel Bargal']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Yu_Data_Bias_Mitigation_and_Evaluation_Framework_for_Diffusion-based_Generative_Face_ICCVW_2025_paper.pdf
30,Enhancing Vision-Language Models for Zero-Shot Video Action Recognition via Visual-Textual Refinement and Improved Interpretability,"['Adeel Yousaf', 'Mubarak Shah']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Yousaf_Enhancing_Vision-Language_Models_for_Zero-Shot_Video_Action_Recognition_via_Visual-Textual_ICCVW_2025_paper.pdf
31,Robust Experts: The Effect of Adversarial Training on CNNs with Sparse Mixture-of-Experts Layers,"['Svetlana Pavlitska', 'Haixi Fan', 'Konstantin Ditschuneit', 'J. Marius Zöllner']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Pavlitska_Robust_Experts_The_Effect_of_Adversarial_Training_on_CNNs_with_ICCVW_2025_paper.pdf
32,GenAI Confessions: Black-box Membership Inference for Generative Image Models,"['Matyas Bohacek', 'Hany Farid']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Bohacek_GenAI_Confessions_Black-box_Membership_Inference_for_Generative_Image_Models_ICCVW_2025_paper.pdf
33,Are X-ray Landmark Detection Models Fair? A Preliminary Assessment and Mitigation Strategy,"['Roberto Di Via', 'Massimiliano Ciranni', 'Davide Marinelli', 'Allison Clement', 'Nikil Patel', 'Julian Wyatt', 'Francesca Odone', 'Matteo Santacesaria', 'Irina Voiculescu', 'Vito Paolo Pastore']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Di_Via_Are_X-ray_Landmark_Detection_Models_Fair_A_Preliminary_Assessment_and_ICCVW_2025_paper.pdf
34,ImageNet-BG: A Toolkit and Dataset for Evaluating Vision Model Robustness Against Background Variations,"['Łukasz Piekarek', 'Kamil Szyc']",https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Piekarek_ImageNet-BG_A_Toolkit_and_Dataset_for_Evaluating_Vision_Model_Robustness_ICCVW_2025_paper.pdf
35,DiViD: Disentangled Video Diffusion for Static-Dynamic Factorization,"['Marzieh Gheisari', 'Auguste Genovesio']",https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Gheisari_DiViD_Disentangled_Video_Diffusion_for_Static-Dynamic_Factorization_ICCVW_2025_paper.pdf
36,Textual Semantics Matters: Unsupervised Representation Disentanglement in Realistic Scenarios with Language Inductive Bias,"['Junhao Geng', 'Lexiang Lv', 'Jianxin Lin']",https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Geng_Textual_Semantics_Matters_Unsupervised_Representation_Disentanglement_in_Realistic_Scenarios_with_ICCVW_2025_paper.pdf
